book_code,book_title,book_author,book_downloads,book_content,book_score
1342,Pride and Prejudice,Jane Austen,54222," It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. “My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?” Mr. Bennet replied that he had not. “But it is,” returned she; “for Mrs. Long has just been here, and she told me all about it.” Mr. Bennet made no answer. “Do not you want to know who has taken it?” cried his wife impatiently. This was invitation enough. “Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.” “What is his name?”",-1.3501548127910095
84,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,43135," St. Petersburgh, Dec. 11th, 17—. You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking. I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight. Do you understand this feeling? This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes. Inspirited by this wind of promise, my daydreams become more fervent and vivid. I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight. There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour. There—for with your leave, my sister, I will put some trust in preceding navigators—there snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe. Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes. What may not be expected in a country of eternal light? I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent for ever. I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man. These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river. But supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind, to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine. These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillise the mind as a steady purpose—a point on which the soul may fix its intellectual eye. This expedition has been the favourite dream of my early years. I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole. You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas’ library. My education was neglected, yet I was passionately fond of reading. These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father’s dying injunction had forbidden my uncle to allow me to embark in a seafaring life. These visions faded when I perused, for the first time, those poets whose effusions entranced my soul and lifted it to heaven. I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated. You are well acquainted with my failure and how heavily I bore the disappointment. But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent. Six years have passed since I resolved on my present undertaking. I can, even now, remember the hour from which I dedicated myself to this great enterprise. I commenced by inuring my body to hardship. I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage. Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration. I must own I felt a little proud when my captain offered me the second dignity in the vessel and entreated me to remain with the greatest earnestness, so valuable did he consider my services. And now, dear Margaret, do I not deserve to accomplish some great purpose? My life might have been passed in ease and luxury, but I preferred glory to every enticement that wealth placed in my path. Oh, that some encouraging voice would answer in the affirmative! My courage and my resolution is firm; but my hopes fluctuate, and my spirits are often depressed. I am about to proceed on a long and difficult voyage, the emergencies of which will demand all my fortitude: I am required not only to raise the spirits of others, but sometimes to sustain my own, when theirs are failing. This is the most favourable period for travelling in Russia. They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach. The cold is not excessive, if you are wrapped in furs—a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins. I have no ambition to lose my life on the post-road between St. Petersburgh and Archangel. I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing. I do not intend to sail until the month of June; and when shall I return? Ah, dear sister, how can I answer this question? If I succeed, many, many months, perhaps years, will pass before you and I may meet. If I fail, you will see me again soon, or never. Farewell, my dear, excellent Margaret. Heaven shower down blessings on you, and save me, that I may again and again testify my gratitude for all your love and kindness.",-3.0986903753851545
11,Alice's Adventures in Wonderland,Lewis Carroll,27199," Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice “without pictures or conversations?” So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her. In another moment down went Alice after it, never once considering how in the world she was to get out again. The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well. Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled “ORANGE MARMALADE”, but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it. “Well!” thought Alice to herself, “after such a fall as this, I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why, I wouldn’t say anything about it, even if I fell off the top of the house!” (Which was very likely true.) Down, down, down. There was nothing else to do, so Alice soon began talking again. “Dinah’ll miss me very much to-night, I should think!” (Dinah was the cat.) “I hope they’ll remember her saucer of milk at tea-time. Dinah my dear! I wish you were down here with me! There are no mice in the air, I’m afraid, but you might catch a bat, and that’s very like a mouse, you know. But do cats eat bats, I wonder?” And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, “Do cats eat bats? Do cats eat bats?” and sometimes, “Do bats eat cats?” for, you see, as she couldn’t answer either question, it didn’t much matter which way she put it. She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, “Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over. Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it. There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, “Oh my ears and whiskers, how late it’s getting!” She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof. There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again. Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice’s first thought was that it might belong to one of the doors of the hall; but, alas! either the locks were too large, or the key was too small, but at any rate it would not open any of them. However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",-0.13824976478143736
16328,Beowulf: An Anglo-Saxon Epic Poem,,25709," CONTENTS. The Heyne-Socin text and glossary have been closely followed. Occasionally a deviation has been made, but always for what seemed good and sufficient reason. The translator does not aim to be an editor. Once in a while, however, he has added a conjecture of his own to the emendations quoted from the criticisms of other students of the poem. This work is addressed to two classes of readers. From both of these alike the translator begs sympathy and co-operation. The Anglo-Saxon scholar he hopes to please by adhering faithfully to the original. The student of English literature he aims to interest by giving him, in modern garb, the most ancient epic of our race. This is a bold and venturesome undertaking; and yet there must be some students of the Teutonic past willing to follow even a daring guide, if they may read in modern phrases of the sorrows of Hrothgar, of the prowess of Beowulf, and of the feelings that stirred the hearts of our forefathers in their primeval homes. In order to please the larger class of readers, a regular cadence has been used, a measure which, while retaining the essential characteristics of the original, permits the reader to see ahead of him in reading. Of all English translations of Beowulf, that of Professor Garnett alone gives any adequate idea of the chief characteristics of this great Teutonic epic. With these preliminary remarks, it will not be amiss to give an outline of the story of the poem. It is the devout desire of this translator to hasten the day when the story of Beowulf shall be as familiar to English-speaking peoples as that of the Iliad. Beowulf is our first great epic. It is an epitomized history of the life of the Teutonic races. It brings vividly before us our forefathers of pre-Alfredian eras, in their love of war, of sea, and of adventure. My special thanks are due to Professors Francis A. March and James A. Harrison, for advice, sympathy, and assistance. J.L. HALL. B. = Bugge. C. = Cosijn. Gr. = Grein. Grdvtg. = Grundtvig. H. = Heyne. H. and S. = Harrison and Sharp. H.-So. = Heyne-Socin. K.= Kemble. Kl. = Kluge. M.= MÃ¼llenhoff. R. = Rieger. S. = Sievers. Sw. = Sweet. t.B. = ten Brink. Th. = Thorpe. W. = WÃ¼lcker.",-2.5859118951737146
25344,The Scarlet Letter,Nathaniel Hawthorne,25582," BY NATHANIEL HAWTHORNE. Illustrated. The author is constrained, therefore, to republish his introductory sketch without the change of a word. Doubtless, however, either of these stern and black-browed Puritans would have thought it quite a sufficient retribution for his sins, that, after so long a lapse of years, the old trunk of the family tree, with so much venerable moss upon it, should have borne, as its topmost bough, an idler like myself. No aim, that I have ever cherished, would they recognize as laudable; no success of mine—if my life, beyond its domestic scope, had ever been brightened by success—would they deem otherwise than worthless, if not positively disgraceful. “What is he?” murmurs one gray shadow of my forefathers to the other. “A writer of story-books! What kind of a business in life—what mode of glorifying God, or being serviceable to mankind in his day and generation—may that be? Why, the degenerate fellow might as well have been a fiddler!” Such are the compliments bandied between my great-grandsires and myself, across the gulf of time! And yet, let them scorn me as they will, strong traits of their nature have intertwined themselves with mine. On emerging from the Old Manse, it was chiefly this strange, indolent, unjoyous attachment for my native town, that brought me to fill a place in Uncle Sam’s brick edifice, when I might as well, or better, have gone somewhere else. My doom was on me. It was not the first time, nor the second, that I had gone away,—as it seemed, permanently,—but yet returned, like the bad half-penny; or as if Salem were for me the inevitable centre of the universe. So, one fine morning, I ascended the flight of granite steps, with the President’s commission in my pocket, and was introduced to the corps of gentlemen who were to aid me in my weighty responsibility, as chief executive officer of the Custom-House. It would be sad injustice, the reader must understand, to represent all my excellent old friends as in their dotage. In the first place, my coadjutors were not invariably old; there were men among them in their strength and prime, of marked ability and energy, and altogether superior to the sluggish and dependent mode of life on which their evil stars had cast them. Then, moreover, the white locks of age were sometimes found to be the thatch of an intellectual tenement in good repair. But, as respects the majority of my corps of veterans, there will be no wrong done, if I characterize them generally as a set of wearisome old souls, who had gathered nothing worth preservation from their varied experience of life. They seemed to have flung away all the golden grain of practical wisdom, which they had enjoyed so many opportunities of harvesting, and most carefully to have stored their memories with the husks. They spoke with far more interest and unction of their morning’s breakfast, or yesterday’s, to-day’s, or to-morrow’s dinner, than of the shipwreck of forty or fifty years ago, and all the world’s wonders which they had witnessed with their youthful eyes. I used to watch and study this patriarchal personage with, I think, livelier curiosity, than any other form of humanity there presented to my notice. He was, in truth, a rare phenomenon; so perfect, in one point of view; so shallow, so delusive, so impalpable, such an absolute nonentity, in every other. My conclusion was that he had no soul, no heart, no mind; nothing, as I have already said, but instincts: and yet, withal, so cunningly had the few materials of his character been put together, that there was no painful perception of deficiency, but, on my part, an entire contentment with what I found in him. It might be difficult—and it was so—to conceive how he should exist hereafter, so earthly and sensuous did he seem; but surely his existence here, admitting that it was to terminate with his last breath, had been not unkindly given; with no higher moral responsibilities than the beasts of the field, but with a larger scope of enjoyment than theirs, and with all their blessed immunity from the dreariness and duskiness of age. But it is time to quit this sketch; on which, however, I should be glad to dwell at considerably more length because, of all men whom I have ever known, this individual was fittest to be a Custom-House officer. Most persons, owing to causes which I may not have space to hint at, suffer moral detriment from this peculiar mode of life. The old Inspector was incapable of it, and, were he to continue in office to the end of time, would be just as good as he was then, and sit down to dinner with just as good an appetite. To observe and define his character, however, under such disadvantages, was as difficult a task as to trace out and build up anew, in imagination, an old fortress, like Ticonderoga, from a view of its gray and broken ruins. Here and there, perchance, the walls may remain almost complete, but elsewhere may be only a shapeless mound, cumbrous with its very strength, and overgrown, through long years of peace and neglect, with grass and alien weeds.",-3.2560310756388193
1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,22279," I had seen little of Holmes lately. My marriage had drifted us away from each other. My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes, who loathed every form of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature. He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police. From time to time I heard some vague account of his doings: of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of Holland. Beyond these signs of his activity, however, which I merely shared with all the readers of the daily press, I knew little of my former friend and companion. One night—it was on the twentieth of March, 1888—I was returning from a journey to a patient (for I had now returned to civil practice), when my way led me through Baker Street. As I passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the Study in Scarlet, I was seized with a keen desire to see Holmes again, and to know how he was employing his extraordinary powers. His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind. He was pacing the room swiftly, eagerly, with his head sunk upon his chest and his hands clasped behind him. To me, who knew his every mood and habit, his attitude and manner told their own story. He was at work again. He had risen out of his drug-created dreams and was hot upon the scent of some new problem. I rang the bell and was shown up to the chamber which had formerly been in part my own. His manner was not effusive. It seldom was; but he was glad, I think, to see me. With hardly a word spoken, but with a kindly eye, he waved me to an armchair, threw across his case of cigars, and indicated a spirit case and a gasogene in the corner. Then he stood before the fire and looked me over in his singular introspective fashion. “Wedlock suits you,” he remarked. “I think, Watson, that you have put on seven and a half pounds since I saw you.” “Seven!” I answered. “Indeed, I should have thought a little more. Just a trifle more, I fancy, Watson. And in practice again, I observe. You did not tell me that you intended to go into harness.” “Then, how do you know?” “I see it, I deduce it. How do I know that you have been getting yourself very wet lately, and that you have a most clumsy and careless servant girl?” “My dear Holmes,” said I, “this is too much. You would certainly have been burned, had you lived a few centuries ago. It is true that I had a country walk on Thursday and came home in a dreadful mess, but as I have changed my clothes I can’t imagine how you deduce it. As to Mary Jane, she is incorrigible, and my wife has given her notice, but there, again, I fail to see how you work it out.” He chuckled to himself and rubbed his long, nervous hands together.",-1.8131930950788562
2701,"Moby Dick; Or, The Whale",Herman Melville,22079," This text is a combination of etexts, one from the now-defunct ERIS project at Virginia Tech and one from Project Gutenberg’s archives. The proofreaders of this version are indebted to The University of Adelaide Library for preserving the Virginia Tech version. The resulting etext was compared with a public domain hard copy version of the text. The pale Usher—threadbare in coat, heart, body, and brain; I see him now. He was ever dusting his old lexicons and grammars, with a queer handkerchief, mockingly embellished with all the gay flags of all the known nations of the world. He loved to dust his old grammars; it somehow mildly reminded him of his mortality. It will be seen that this mere painstaking burrower and grub-worm of a poor devil of a Sub-Sub appears to have gone through the long Vaticans and street-stalls of the earth, picking up whatever random allusions to whales he could anyways find in any book whatsoever, sacred or profane. Therefore you must not, in every case at least, take the higgledy-piggledy whale statements, however authentic, in these extracts, for veritable gospel cetology. Far from it. As touching the ancient authors generally, as well as the poets here appearing, these extracts are solely valuable or entertaining, as affording a glancing bird’s eye view of what has been promiscuously said, thought, fancied, and sung of Leviathan, by many nations and generations, including our own. So fare thee well, poor devil of a Sub-Sub, whose commentator I am. Thou belongest to that hopeless, sallow tribe which no wine of this world will ever warm; and for whom even Pale Sherry would be too rosy-strong; but with whom one sometimes loves to sit, and feel poor-devilish, too; and grow convivial upon tears; and say to them bluntly, with full eyes and empty glasses, and in not altogether unpleasant sadness—Give it up, Sub-Subs! For by how much the more pains ye take to please the world, by so much the more shall ye for ever go thankless! Would that I could clear out Hampton Court and the Tuileries for ye! But gulp down your tears and hie aloft to the royal-mast with your hearts; for your friends who have gone before are clearing out the seven-storied heavens, and making refugees of long-pampered Gabriel, Michael, and Raphael, against your coming. Here ye strike but splintered hearts together—there, ye shall strike unsplinterable glasses! “The quantity of line withdrawn from the boats engaged in the capture of this one whale, amounted altogether to 10,440 yards or nearly six English miles.... Call me Ishmael. Some years ago—never mind how long precisely—having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world. It is a way I have of driving off the spleen and regulating the circulation. Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people’s hats off—then, I account it high time to get to sea as soon as I can. This is my substitute for pistol and ball. With a philosophical flourish Cato throws himself upon his sword; I quietly take to the ship. There is nothing surprising in this. If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me. There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs—commerce surrounds it with her surf. Right and left, the streets take you waterward. Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land. Look at the crowds of water-gazers there. Circumambulate the city of a dreamy Sabbath afternoon. Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward. What do you see?—Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men fixed in ocean reveries. Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep. But these are all landsmen; of week days pent up in lath and plaster—tied to counters, nailed to benches, clinched to desks. How then is this? Are the green fields gone? What do they here? But look! here come more crowds, pacing straight for the water, and seemingly bound for a dive. Strange! Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suffice. No. They must get just as nigh the water as they possibly can without falling in. And there they stand—miles of them—leagues. Inlanders all, they come from lanes and alleys, streets and avenues—north, east, south, and west. Yet here they all unite. Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither? Once more. Say you are in the country; in some high land of lakes. Take almost any path you please, and ten to one it carries you down in a dale, and leaves you there by a pool in the stream. There is magic in it. Let the most absent-minded of men be plunged in his deepest reveries—stand that man on his legs, set his feet a-going, and he will infallibly lead you to water, if water there be in all that region. Should you ever be athirst in the great American desert, try this experiment, if your caravan happen to be supplied with a metaphysical professor. Yes, as every one knows, meditation and water are wedded for ever.",-2.53499330695483
1952,The Yellow Wallpaper,Charlotte Perkins Gilman,21211," It is very seldom that mere ordinary people like John and myself secure ancestral halls for the summer. A colonial mansion, a hereditary estate, I would say a haunted house, and reach the height of romantic felicity—but that would be asking too much of fate! Still I will proudly declare that there is something queer about it. Else, why should it be let so cheaply? And why have stood so long untenanted? John laughs at me, of course, but one expects that in marriage. John is practical in the extreme. He has no patience with faith, an intense horror of superstition, and he scoffs openly at any talk of things not to be felt and seen and put down in figures. You see, he does not believe I am sick! And what can one do? If a physician of high standing, and one’s own husband, assures friends and relatives that there is really nothing the matter with one but temporary nervous depression—a slight hysterical tendency—what is one to do? My brother is also a physician, and also of high standing, and he says the same thing.",-1.8062347686587437
1232,The Prince,Niccolò Machiavelli,20783," Nicolo Machiavelli was born at Florence on 3rd May 1469. He was the second son of Bernardo di Nicolo Machiavelli, a lawyer of some repute, and of Bartolommea di Stefano Nelli, his wife. Both parents were members of the old Florentine nobility. His life falls naturally into three periods, each of which singularly enough constitutes a distinct and important era in the history of Florence. His youth was concurrent with the greatness of Florence as an Italian power under the guidance of Lorenzo de’ Medici, Il Magnifico. The downfall of the Medici in Florence occurred in 1494, in which year Machiavelli entered the public service. During his official career Florence was free under the government of a Republic, which lasted until 1512, when the Medici returned to power, and Machiavelli lost his office. The Medici again ruled Florence from 1512 until 1527, when they were once more driven out. This was the period of Machiavelli’s literary activity and increasing influence; but he died, within a few weeks of the expulsion of the Medici, on 22nd June 1527, in his fifty-eighth year, without having regained office. Machiavelli, in his “History of Florence,” gives us a picture of the young men among whom his youth was passed. He writes: “They were freer than their forefathers in dress and living, and spent more in other kinds of excesses, consuming their time and money in idleness, gaming, and women; their chief aim was to appear well dressed and to speak with wit and acuteness, whilst he who could wound others the most cleverly was thought the wisest.” In a letter to his son Guido, Machiavelli shows why youth should avail itself of its opportunities for study, and leads us to infer that his own youth had been so occupied. He writes: “I have received your letter, which has given me the greatest pleasure, especially because you tell me you are quite restored in health, than which I could have no better news; for if God grant life to you, and to me, I hope to make a good man of you if you are willing to do your share.” Then, writing of a new patron, he continues: “This will turn out well for you, but it is necessary for you to study; since, then, you have no longer the excuse of illness, take pains to study letters and music, for you see what honour is done to me for the little skill I have. Therefore, my son, if you wish to please me, and to bring success and honour to yourself, do right and study, because others will help you if you help yourself.” On the death of Pius III, in 1503, Machiavelli was sent to Rome to watch the election of his successor, and there he saw Cesare Borgia cheated into allowing the choice of the College to fall on Giuliano delle Rovere (Julius II), who was one of the cardinals that had most reason to fear the duke. Machiavelli, when commenting on this election, says that he who thinks new favours will cause great personages to forget old injuries deceives himself. Julius did not rest until he had ruined Cesare. It was to Julius II that Machiavelli was sent in 1506, when that pontiff was commencing his enterprise against Bologna; which he brought to a successful issue, as he did many of his other adventures, owing chiefly to his impetuous character. It is in reference to Pope Julius that Machiavelli moralizes on the resemblance between Fortune and women, and concludes that it is the bold rather than the cautious man that will win and hold them both. It is impossible to follow here the varying fortunes of the Italian states, which in 1507 were controlled by France, Spain, and Germany, with results that have lasted to our day; we are concerned with those events, and with the three great actors in them, so far only as they impinge on the personality of Machiavelli. He had several meetings with Louis XII of France, and his estimate of that monarch’s character has already been alluded to. Machiavelli has painted Ferdinand of Aragon as the man who accomplished great things under the cloak of religion, but who in reality had no mercy, faith, humanity, or integrity; and who, had he allowed himself to be influenced by such motives, would have been ruined. The Emperor Maximilian was one of the most interesting men of the age, and his character has been drawn by many hands; but Machiavelli, who was an envoy at his court in 1507-8, reveals the secret of his many failures when he describes him as a secretive man, without force of character—ignoring the human agencies necessary to carry his schemes into effect, and never insisting on the fulfilment of his wishes. The remaining years of Machiavelli’s official career were filled with events arising out of the League of Cambrai, made in 1508 between the three great European powers already mentioned and the pope, with the object of crushing the Venetian Republic. This result was attained in the battle of Vaila, when Venice lost in one day all that she had won in eight hundred years. Florence had a difficult part to play during these events, complicated as they were by the feud which broke out between the pope and the French, because friendship with France had dictated the entire policy of the Republic. When, in 1511, Julius II finally formed the Holy League against France, and with the assistance of the Swiss drove the French out of Italy, Florence lay at the mercy of the Pope, and had to submit to his terms, one of which was that the Medici should be restored. The return of the Medici to Florence on 1st September 1512, and the consequent fall of the Republic, was the signal for the dismissal of Machiavelli and his friends, and thus put an end to his public career, for, as we have seen, he died without regaining office. I have noted down what I have gained from their conversation, and have composed a small work on ‘Principalities,’ where I pour myself out as fully as I can in meditation on the subject, discussing what a principality is, what kinds there are, how they can be acquired, how they can be kept, why they are lost: and if any of my fancies ever pleased you, this ought not to displease you: and to a prince, especially to a new one, it should be welcome: therefore I dedicate it to his Magnificence Giuliano. Filippo Casavecchio has seen it; he will be able to tell you what is in it, and of the discourses I have had with him; nevertheless, I am still enriching and polishing it.” Machiavelli concludes his letter to Vettori thus: “And as to this little thing [his book], when it has been read it will be seen that during the fifteen years I have given to the study of statecraft I have neither slept nor idled; and men ought ever to desire to be served by one who has reaped experience at the expense of others. And of my loyalty none could doubt, because having always kept faith I could not now learn how to break it; for he who has been faithful and honest, as I have, cannot change his nature; and my poverty is a witness to my honesty.” In 1520 the Florentine merchants again had recourse to Machiavelli to settle their difficulties with Lucca, but this year was chiefly remarkable for his re-entry into Florentine literary society, where he was much sought after, and also for the production of his “Art of War.” It was in the same year that he received a commission at the instance of Cardinal de’ Medici to write the “History of Florence,” a task which occupied him until 1525. His return to popular favour may have determined the Medici to give him this employment, for an old writer observes that “an able statesman out of work, like a huge whale, will endeavour to overturn the ship unless he has an empty cask to play with.”",-2.426963856378528
174,The Picture of Dorian Gray,Oscar Wilde,18927," The artist is the creator of beautiful things. To reveal art and conceal the artist is art’s aim. The critic is he who can translate into another manner or a new material his impression of beautiful things. The highest as the lowest form of criticism is a mode of autobiography. Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all. The nineteenth century dislike of realism is the rage of Caliban seeing his own face in a glass. The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass. The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium. No artist desires to prove anything. Even things that are true can be proved. No artist has ethical sympathies. An ethical sympathy in an artist is an unpardonable mannerism of style. No artist is ever morbid. The artist can express everything. Thought and language are to the artist instruments of an art. Vice and virtue are to the artist materials for an art. From the point of view of form, the type of all the arts is the art of the musician. From the point of view of feeling, the actor’s craft is the type. All art is at once surface and symbol. Those who go beneath the surface do so at their peril. Those who read the symbol do so at their peril. It is the spectator, and not life, that art really mirrors. Diversity of opinion about a work of art shows that the work is new, complex, and vital. When critics disagree, the artist is in accord with himself. We can forgive a man for making a useful thing as long as he does not admire it. The only excuse for making a useless thing is that one admires it intensely. All art is quite useless. OSCAR WILDE The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn. From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London was like the bourdon note of a distant organ.",-2.605978943839558
